lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;v_1;v_9;v_10;v_11;v_12;v_13;v_14;v_15;v_16;v_17;v_18;v_19;v_20;v_26;v_27;v_28;v_29;v_36;v_37;v_38;v_39;v_40;v_41;v_42;v_43;v_46;v_52;v_53;v_54;v_55;v_56;v_57;v_63;v_64;v_65;v_66;v_67;v_68;v_69;v_70;v_71;v_72;v_73;v_74;v_75;v_76;v_82;v_83;v_84;v_85;v_111;v_117;v_118;v_119;v_120;v_121;v_122;v_124;v_142;v_268;v_0ab75;v_b4933;v_bcfd1;v_272;v_f9027;v_c054d;v_aaa14;v_276;v_277;v_278;v_279;v_280;v_282;v_284;v_285;v_286;v_289;v_290;v_291;v_294;v_295;v_296;v_297;v_299;v_300;v_301;v_302;v_303;v_304;v_305;v_306;v_307;v_308;v_309;v_310;v_311;v_312;v_313;v_314;v_315;v_319;v_320;v_321;v_322;v_323;v_325;v_326;v_327;v_328;v_329;v_330;v_331;v_332;v_177;v_178;v_179;v_186;v_187;v_188;v_189;v_190;v_191;v_197;v_198;v_199;v_200;v_201;v_202;v_203;v_204;v_205;v_206;v_333;v_334;v_335;v_336;v_337;v_338;v_339;v_2598;v_223;v_225;v_226;v_227;v_228;v_229;v_231;v_233;v_234;v_235;v_236;v_238;v_241;v_2604;v_2605;v_245;v_246;dupl1_v_245;v_250;v_251;v_252;v_253;v_254;v_257;v_259;v_260;v_262;v_263;v_269;v_270;v_271;v_273;v_274;v_275;ext_host;ip_addr;device_type;participant_browser;participant_browser_version;participant_os;participant_device;participant_brand;participant_model;participant_isbot;participant_continent;participant_country;participant_region;participant_city;participant_latitude;participant_longitude;quota;quota_assignment;hflip;vflip;output_mode;javascript;flash;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts712934;rts712935;rts712936;rts712937;rts712938;rts712939;rts712940;rts712941;rts712942;rts712943;rts712944;rts712945;rts712946;rts712950;rts712951;rts712952;rts712954;rts712958;rts712959;rts712960;rts712961;rts712962;rts712963;rts712965;rts712966;rts712967;rts712969;rts712971;rts712972;rts712974;rts712975;rts712977;rts712978;rts712979;rts712981;rts712982;rts712984;rts712985;rts712986;rts712987;rts712988;rts712990;rts712991;rts712993;rts712994;rts713002;rts713007;rts713010;rts713014;rts713016;rts713018;rts713019;rts713021;rts713023;rts713025;geschlecht;bildung;beruf;stadt_teil;stadt_teil2;alter;indi;jahr
494;0;0;31;"712995";;1933;3;3;3;2;4;5;1;2;3;2;4;3;2;4;6;5;6;3;2;3;6;2;6;5;6;7;1;5;1;8;6;8;6;6;5;5;6;3;5;6;5;6;3;2;3;5;1;2;1;2;3;5;5;4;4;2;1;4;5;1;1;2;3;2;1;3;3;3;4;2;1;2;0;1;3;2;3;1;1;1;5;4;1;4;2;2;5;5;5;3;;;;;;;;;5;2;1;1;3;1;1;4;4;5;4;1;3;1;1;4;3;4;1;2;3;2;3;1;3;3;3;3;3;2;2;3;4;4;3;3;3;3;3;3;2;1;3;1;1;2;;7;80;1;60;10;1;2;;33;1;2;9;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554434176;"2019-04-05 03:16:16";"2019-04-05 03:48:29";"0000-00-00 00:00:00";7;14;63;228;282;311;352;577;731;737;763;814;832;842;873;883;898;1218;1223;1232;1335;1368;1413;1458;1465;1469;1477;;1485;1492;1504;1517;1523;1527;1530;1631;;1646;1657;1666;1676;;1682;;1933;931;1015;1044;1064;1095;1117;1174;1211;1433;1452;"maennlich";"Mittlere Reife";"Angestelle/r";"Gartenstadt/Ost";3;"36-40";5;2019
500;0;0;31;"712995";;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;0;-99;0;;;0;;;-99;-99;0;0;0;0;"-99";0;0;0;0;-66;0;0;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554442159;"2019-04-05 05:29:19";"2019-04-05 05:34:19";"0000-00-00 00:00:00";3;9;13;14;25;30;34;38;41;49;55;62;66;71;81;85;90;170;173;176;181;200;211;226;237;239;;;245;251;261;;;264;;;;268;278;283;290;;296;;300;101;112;119;136;144;148;160;167;218;221;"";"";"";"";;"";0;2019
501;0;0;31;"712995";;2402;2;3;2;3;1;3;3;2;3;1;2;1;3;2;2;2;2;3;4;3;3;3;;5;;2;4;4;2;4;4;4;5;2;2;3;4;4;1;4;1;3;2;3;5;5;3;3;3;4;2;1;3;3;2;4;3;3;4;2;2;2;3;3;2;3;3;1;3;2;3;3;0;3;3;3;4;1;1;1;4;1;3;2;1;2;2;4;4;2;2;4;4;4;3;4;2;3;3;4;1;4;2;4;1;5;5;2;3;2;2;3;1;3;2;5;1;1;2;2;4;2;2;4;4;3;2;4;2;4;4;3;2;2;3;2;1;3;3;2;4;1;1;2;;8;80;2;;;2;;1;1;-99;3;5;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554442842;"2019-04-05 05:40:42";"2019-04-05 06:20:44";"0000-00-00 00:00:00";12;25;113;237;285;308;345;530;580;589;616;710;731;747;790;798;811;1453;1460;1470;1514;1563;1618;2200;2214;2219;2231;;2239;;2256;;;2264;;;2316;2325;2335;2343;2352;;2361;;2402;867;1051;1082;1098;1159;1331;1388;1445;1654;2189;"weiblich";"(Fach-)Abitur";"Angestelle/r";"Gartenstadt/Ost";3;"56-60";5;2019
506;0;0;31;"712995";;518;3;5;3;5;3;5;4;3;5;4;3;1;5;5;4;5;5;2;6;2;2;6;3;3;4;1;1;1;1;1;1;1;5;5;4;4;4;2;4;4;3;5;4;2;2;2;2;2;2;2;3;2;2;2;3;3;2;3;4;1;1;3;3;3;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;5;4;2;;2;2;2;5;5;5;5;5;5;5;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;5;1;1;4;1;5;1;5;5;3;;5;5;5;5;5;5;3;;2;3;3;3;1;1;5;1;1;2;;7;100;1;40;6;2;;1;1;0;3;13;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554446390;"2019-04-05 06:39:50";"2019-04-05 06:48:28";"0000-00-00 00:00:00";6;13;26;30;71;81;104;107;109;116;126;165;174;179;194;198;203;339;344;349;353;380;400;426;431;434;441;;447;452;460;469;477;480;;;489;496;501;506;510;;514;;518;226;251;256;266;287;294;320;334;418;421;"maennlich";"Hochschule";"Angestelle/r";"";;"18-25";5;2019
507;0;0;31;"712995";;2894;1;3;2;3;2;2;3;3;1;4;1;2;2;2;2;3;2;2;4;2;;2;;;;3;4;5;4;3;3;6;4;4;2;1;3;3;2;5;2;2;2;2;2;;3;2;3;3;3;2;3;2;3;2;2;3;3;1;1;2;3;1;1;1;3;1;2;3;2;3;0;1;2;2;4;3;2;1;3;3;4;3;3;3;3;4;4;3;3;4;3;4;3;3;3;3;3;3;1;;2;;;3;4;3;3;3;3;2;2;2;3;4;2;2;3;2;3;3;3;3;3;2;1;3;2;3;4;4;3;3;2;3;1;2;1;1;3;1;1;2;;8;100;2;;;2;;2;3;0;4;1;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554446890;"2019-04-05 06:48:10";"2019-04-05 07:36:24";"0000-00-00 00:00:00";3;13;267;804;863;891;962;1399;1580;1594;1626;1695;1714;1727;1766;1772;1785;2263;2270;2282;2584;2617;2670;2736;2749;2753;2761;;2771;;2797;;;2802;;;2816;2831;2847;2870;2877;;2884;;2894;1856;1922;1961;1978;2064;2116;2183;2253;2697;2726;"maennlich";"Mittlere Reife";"Angestelle/r";"Berg";5;"46-50";5;2019
515;0;0;32;"712995";;-1;1;2;2;3;1;2;2;2;4;2;2;3;1;1;2;1;2;3;4;2;2;3;3;4;4;3;2;2;3;3;2;4;5;1;2;3;6;3;1;4;2;2;2;2;4;3;4;3;4;5;2;2;1;1;2;4;3;3;2;1;1;3;3;3;2;3;3;3;2;1;2;3;0;1;1;1;4;4;1;1;1;3;5;2;1;1;1;2;2;2;2;4;3;4;3;3;2;3;1;2;1;2;1;3;1;1;1;3;4;4;3;5;1;2;2;3;1;1;1;1;5;4;1;2;3;1;1;2;1;3;4;3;3;3;2;3;1;2;1;1;5;1;1;2;;5;45;1;23;3;1;2;;1;0;3;10;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554451747;"2019-04-05 08:09:07";"2019-04-05 09:23:15";"0000-00-00 00:00:00";4;17;67;187;248;282;343;435;466;476;509;587;609;619;656;664;688;1222;1228;1239;1337;1377;1452;4222;4236;4240;4251;;4271;4293;4306;4334;4367;4373;4377;4387;;4397;4408;4423;4433;;4442;;4448;739;802;847;874;919;1002;1132;1206;1488;4212;"maennlich";"Hochschule";"Angestelle/r";"Mitte/Wunderburg";1;"31-35";5;2019
517;0;0;31;"712995";;3596;3;4;1;3;1;3;4;2;2;4;1;2;1;1;1;1;1;3;4;3;4;3;4;2;4;2;1;1;1;1;1;1;6;2;1;1;4;6;1;1;4;2;1;4;4;4;4;4;4;4;3;1;1;;1;3;3;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;1;1;1;4;3;2;2;2;2;2;2;2;2;2;2;2;2;4;1;2;1;1;1;1;1;1;1;1;3;4;4;4;4;2;1;1;2;3;3;3;3;1;2;2;3;4;3;2;1;1;1;3;3;3;3;3;2;3;1;1;1;2;6;1;1;5;;7;140;1;35;1;2;;2;2;0;4;15;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554453823;"2019-04-05 08:43:43";"2019-04-05 09:43:39";"0000-00-00 00:00:00";4;11;1036;1210;1254;1667;1672;1674;1957;1967;1978;2039;2057;2069;2093;2100;2111;2458;2464;2476;2836;2877;2942;3131;3171;3180;3194;;3200;3204;3235;3271;3276;3281;;;3289;3297;3320;3327;3335;;3413;;3596;2126;2167;2200;2218;2333;2386;2408;2452;2966;3121;"weiblich";"";"Selbstaendige/r";"Mitte/Wunderburg";1;"61-65";5;2019
519;0;0;31;"712995";;2071;2;2;3;2;2;2;2;2;1;3;1;2;2;1;1;1;1;2;2;1;;1;2;;;3;4;3;4;2;2;4;5;2;2;1;3;;;3;2;2;;2;;;1;2;3;3;1;1;1;1;2;3;3;2;2;1;1;2;2;2;1;1;4;4;2;2;2;;0;1;1;1;4;4;3;2;1;3;4;2;1;2;1;3;3;2;2;3;3;3;4;3;2;3;1;1;1;1;3;1;2;2;2;3;4;4;3;4;1;2;;;1;1;2;2;5;3;2;2;3;2;1;1;1;3;4;2;1;3;1;3;1;2;1;1;5;1;1;2;;7;-99;1;0;4;2;;0;5;3;3;10;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554454299;"2019-04-05 08:51:39";"2019-04-05 09:26:10";"0000-00-00 00:00:00";3;9;151;547;574;589;614;709;955;963;1009;1049;1066;1071;1089;1092;1112;1374;1378;1382;1538;1560;1590;1623;1628;1630;1637;;1647;1662;1667;1676;1693;1695;;;1700;1707;1717;1731;1735;;1740;;2071;1140;1167;1195;1210;1250;1291;1327;1369;1608;1612;"maennlich";"Hochschule";"Angestelle/r";"Mitte/Wunderburg";1;"36-40";5;2019
520;0;0;31;"712995";;555;3;1;;;;;;;;;1;;;;2;;;;;;;;3;;;9;5;5;5;5;5;5;3;;3;3;4;;2;3;2;2;;3;3;4;2;2;3;3;3;1;1;2;1;1;1;2;2;2;2;2;1;1;1;2;1;2;2;2;3;3;2;3;3;2;3;2;3;3;3;3;3;2;2;2;2;2;2;2;2;3;3;2;3;2;3;3;1;2;;2;3;3;3;2;3;3;3;2;2;3;3;2;4;2;3;2;2;3;3;2;3;3;2;2;3;3;2;3;3;2;2;2;1;2;;2;1;1;4;1;1;3;;6;100;1;30;3;2;;2;1;0;2;10;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554454617;"2019-04-05 08:56:57";"2019-04-05 09:06:12";"0000-00-00 00:00:00";270;273;275;277;284;286;289;291;294;297;304;315;319;321;327;330;332;400;402;405;407;417;430;460;469;473;477;;481;483;491;498;501;505;;;510;517;520;524;537;;551;;555;343;352;356;361;367;378;387;397;447;449;"maennlich";"(Fach-)Abitur";"Beamter/in";"Mitte/Wunderburg";1;"66-70";5;2019
521;0;0;31;"712995";;2275;2;3;3;4;1;3;2;3;2;3;2;2;1;2;3;2;2;3;3;3;4;2;3;3;4;3;3;7;3;2;5;4;6;4;2;2;5;2;2;3;1;2;3;4;4;4;5;4;4;4;2;1;1;1;1;2;3;2;2;2;1;2;3;3;1;3;3;3;3;3;4;4;0;2;4;5;5;3;4;3;1;5;5;3;1;1;2;4;4;2;1;2;2;2;2;2;1;2;1;3;1;3;1;3;3;2;1;4;4;4;1;2;1;3;2;4;1;1;1;1;4;4;3;3;3;2;1;1;1;3;4;4;3;3;1;3;3;1;1;2;5;1;1;2;;5;84;1;15;1;2;;1;2;0;6;15;1;0;"-99";0;0;1;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;1;0;;;1;0;1554454852;"2019-04-05 09:00:52";"2019-04-05 09:38:47";"0000-00-00 00:00:00";5;21;77;93;145;162;221;268;289;296;338;465;512;533;721;730;742;1347;1352;1359;1406;1435;1468;1522;1531;1535;1557;;1597;1665;1677;1804;1839;1845;;;1891;1901;1941;1978;1990;;2004;;2275;781;874;898;1004;1077;1116;1230;1339;1493;1511;"weiblich";"Hochschule";"Angestelle/r";"Mitte/Wunderburg";1;"36-40";5;2019
523;0;0;31;"712995";;2915;2;4;3;3;2;4;4;2;2;3;3;2;2;3;2;3;3;4;4;4;3;4;3;4;5;1;1;1;1;2;2;2;6;1;2;2;2;4;2;5;3;3;3;2;5;4;4;3;1;3;3;4;4;3;3;1;1;3;3;1;1;1;3;3;1;3;3;2;1;1;2;3;1;1;3;1;3;1;3;2;1;2;2;3;1;1;3;4;4;3;2;5;4;5;3;3;1;3;2;5;2;3;3;4;2;3;3;4;4;1;1;1;1;3;3;4;1;1;1;1;4;4;1;3;3;3;1;2;4;;4;4;3;3;3;2;2;4;3;1;3;2;;;3;8;130;2;;;2;;2;2;0;3;12;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554455157;"2019-04-05 09:05:57";"2019-04-05 09:54:32";"0000-00-00 00:00:00";26;36;350;492;580;638;740;927;1117;1129;1196;1277;1305;1319;1366;1378;1390;2107;2114;2125;2262;2326;2396;2545;2577;2584;;2604;2610;;2647;;;2654;;;2663;2681;2694;2709;2722;;2731;;2915;1470;1586;1618;1663;1840;1917;2009;2098;2451;2531;"maennlich";"Mittlere Reife";"";"Gartenstadt/Ost";3;"66-70";5;2019
524;0;0;31;"712995";;504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;0;-99;0;;;0;;;-99;-99;0;0;0;0;"-99";0;0;0;0;-66;0;0;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554455446;"2019-04-05 09:10:46";"2019-04-05 09:19:10";"0000-00-00 00:00:00";4;7;13;20;26;142;150;153;159;164;173;214;228;240;261;269;281;392;396;400;407;413;415;427;440;442;;;448;453;459;;;462;;;;468;482;488;494;;499;;504;292;304;319;330;351;356;382;386;421;425;"";"";"";"";;"";0;2019
525;0;0;31;"712995";;1042;1;2;2;2;1;2;2;1;2;3;1;2;2;1;2;1;1;2;2;3;2;3;2;1;2;2;2;2;1;1;2;1;5;2;1;1;1;2;2;3;1;1;3;1;3;3;4;4;3;3;3;2;3;3;4;2;2;3;4;2;2;3;4;3;3;3;3;3;3;4;5;5;0;2;3;3;3;2;1;1;1;4;3;1;1;1;1;2;2;1;4;3;2;2;1;1;2;2;3;2;2;4;1;4;4;3;3;2;3;4;4;4;3;2;3;3;1;2;1;4;5;2;2;4;3;3;1;2;1;4;5;4;3;3;4;4;4;4;3;1;5;1;2;3;;3;70;1;15;2;1;1;;2;0;5;5;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554455657;"2019-04-05 09:14:17";"2019-04-05 09:31:39";"0000-00-00 00:00:00";3;19;57;85;116;128;162;219;256;262;278;326;339;352;373;379;393;667;672;677;732;771;809;846;854;857;861;;867;870;877;913;919;923;927;937;;946;956;960;965;;970;;1042;420;454;475;486;515;545;629;663;837;840;"maennlich";"Hochschule";"Beamter/in";"Gartenstadt/Ost";3;"26-30";5;2019
526;0;0;31;"712995";;2803;2;3;4;3;4;2;3;4;2;4;2;2;2;2;4;3;2;3;2;3;3;3;3;5;;4;2;4;2;4;5;8;4;3;1;2;3;2;4;4;2;2;2;2;4;;2;2;4;3;3;2;1;2;2;1;2;3;4;1;2;4;4;2;4;4;4;1;3;1;2;1;0;1;2;1;4;3;2;1;1;4;4;2;2;;1;2;2;2;2;2;4;3;3;4;1;2;1;3;1;3;1;3;3;2;3;3;3;2;2;2;1;3;2;4;1;1;1;1;3;3;1;1;3;3;1;2;2;;4;5;4;4;4;4;4;4;4;1;3;1;2;2;;6;145;2;;;2;;2;4;2;5;12;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554456748;"2019-04-05 09:32:28";"2019-04-05 10:19:11";"0000-00-00 00:00:00";4;12;673;836;893;919;972;1361;1451;1463;1602;1650;1667;1674;1697;1702;1716;2075;2079;2084;2301;2329;2379;2414;2435;2438;2451;;2465;2488;2503;;;2508;;;2517;2526;2539;2548;2554;;2559;;2803;1751;1832;1864;1891;1928;1978;2028;2069;2401;2407;"maennlich";"Mittlere Reife";"Angestelle/r";"Gartenstadt/Ost";3;"41-45";5;2019
528;0;0;31;"712995";;1559;1;4;5;4;2;2;3;5;1;3;1;3;1;1;1;1;1;2;2;2;2;2;1;2;2;3;2;2;2;3;2;3;6;2;1;2;3;2;2;1;2;2;3;1;2;3;1;3;2;3;2;1;1;1;1;1;2;3;3;1;1;1;2;2;1;2;;2;1;1;5;5;0;1;1;1;2;3;3;1;1;5;5;1;1;2;3;4;4;2;1;4;4;4;1;3;1;3;1;1;1;3;3;3;3;1;1;3;4;2;1;2;1;1;2;3;1;1;1;1;5;5;1;1;1;1;1;1;1;3;3;1;1;1;3;3;1;2;1;2;5;1;1;3;;7;170;2;;;2;;2;5;0;6;12;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554460456;"2019-04-05 10:34:16";"2019-04-05 11:00:15";"0000-00-00 00:00:00";4;9;70;118;154;164;187;250;340;347;365;412;428;437;459;464;470;842;849;854;1015;1037;1093;1135;1143;1148;1154;;1161;1164;1180;;;1185;;;1202;1215;1223;1236;1243;;1249;;1559;513;549;571;585;623;652;684;837;1120;1126;"weiblich";"Hochschule";"Beamter/in";"Gartenstadt/Ost";3;"46-50";5;2019
529;0;0;31;"712995";;1024;1;2;2;3;1;2;2;2;1;1;1;1;1;1;1;1;1;3;2;3;2;2;3;2;2;1;2;1;1;1;1;2;3;1;1;2;2;;2;4;1;2;2;2;;;4;3;2;4;2;1;2;2;2;4;1;2;3;1;1;3;3;3;1;3;3;1;3;2;3;2;0;2;2;2;4;1;3;1;5;4;3;3;1;2;4;4;5;2;;;;;;;;;2;4;2;4;3;;;4;4;2;4;1;1;3;1;2;2;2;1;1;1;1;5;5;1;1;1;1;1;1;1;2;3;3;4;3;3;2;2;3;3;1;5;1;1;5;;7;230;2;;;2;;2;2;0;4;10;1;0;"-99";0;0;1;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554460556;"2019-04-05 10:35:56";"2019-04-05 10:53:00";"0000-00-00 00:00:00";6;12;31;48;89;105;139;205;222;229;244;288;315;323;354;360;371;711;716;726;751;783;825;879;890;893;907;;917;933;954;;;958;;;964;976;991;1008;1015;;1021;;1024;412;459;482;502;579;592;655;704;863;867;"maennlich";"Hochschule";"Selbstaendige/r";"Mitte/Wunderburg";1;"66-70";5;2019
530;0;0;31;"712995";;923;2;2;2;2;4;2;2;1;2;3;2;3;2;2;1;1;1;2;2;2;2;1;2;2;3;3;6;2;3;4;3;3;3;3;3;4;1;3;4;4;2;2;3;3;3;4;2;2;2;2;4;3;3;4;;1;1;3;4;1;2;2;2;3;1;3;3;3;1;1;1;1;0;3;2;1;1;1;4;2;3;2;4;2;1;1;3;3;2;2;2;2;3;3;1;2;1;2;5;1;2;2;1;3;4;3;4;2;2;3;1;3;2;1;3;2;1;1;2;2;2;1;2;2;2;1;1;1;1;3;4;4;3;3;3;3;3;3;3;1;3;1;2;6;;6;80;2;;;2;;2;35;0;4;3;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;1;0;;;1;0;1554460936;"2019-04-05 10:42:16";"2019-04-05 10:57:39";"0000-00-00 00:00:00";3;9;47;89;124;137;168;272;283;290;315;363;374;386;426;435;444;701;705;712;733;762;787;815;826;829;841;;846;854;864;;;868;;;877;892;901;908;914;;919;;923;477;508;527;546;577;609;650;694;807;809;"maennlich";"Mittlere Reife";"in Ausbildung";"Bug";6;"18-25";5;2019
535;0;0;32;"712995";;-1;2;3;2;3;2;4;2;4;2;2;2;2;3;4;2;3;2;2;2;2;1;2;2;3;2;3;2;3;1;3;2;3;4;3;2;3;5;;2;2;2;2;5;3;2;3;2;5;3;3;3;2;2;3;3;2;2;4;1;1;1;3;3;3;3;3;3;3;1;2;3;3;0;1;1;1;4;3;2;1;1;4;5;1;1;2;1;1;1;2;3;2;2;2;2;3;1;2;1;3;1;;2;;;1;1;3;4;4;1;2;2;3;4;4;1;1;1;1;4;4;2;2;2;1;1;2;1;2;3;2;1;3;3;3;3;3;3;1;4;2;;;2;8;80;2;;;2;;1;55;0;6;12;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554464921;"2019-04-05 11:48:41";"2019-04-11 10:58:58";"0000-00-00 00:00:00";171;179;258;384;458;485;529;732;768;779;817;888;921;929;968;981;1885;2247;2250;2265;2288;2321;2352;2396;7135;8161;;13810;515297;;515319;;;515326;;;515337;515372;515391;515396;515404;;515410;;515417;1939;1998;2024;2043;2079;2116;2179;2241;2386;2391;"maennlich";"(Fach-)Abitur";"";"Gartenstadt/Ost";3;"18-25";5;2019
539;0;0;31;"712995";;1370;1;3;1;3;2;1;1;1;1;2;1;2;1;2;3;4;2;1;1;1;1;1;1;2;1;3;4;4;4;3;2;3;3;3;1;3;3;2;2;4;3;2;2;2;1;2;4;3;1;1;3;3;3;3;2;3;2;3;1;4;4;4;4;4;4;4;4;4;3;3;3;3;0;3;2;1;2;3;5;4;4;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;3;2;4;4;4;3;5;5;3;3;1;3;4;3;2;2;2;1;1;2;1;4;4;2;1;3;2;1;3;1;3;2;4;4;3;4;3;3;3;4;1;3;1;1;1;;8;67;1;50;7;2;;1;2;0;2;15;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554471829;"2019-04-05 13:43:49";"2019-04-05 14:06:39";"0000-00-00 00:00:00";13;31;74;161;197;241;275;510;559;565;584;637;654;663;696;701;714;1036;1041;1045;1054;1093;1130;1167;1219;1221;1249;;1257;;1270;1290;1296;1303;;;1327;1334;1339;1348;1358;;1365;;1370;744;793;836;859;884;895;976;1030;1158;1161;"maennlich";"Mittlere Reife";"(Fach-)Arbeiter/in";"Mitte/Wunderburg";1;"18-25";5;2019
543;0;0;31;"712995";;2023;1;3;3;3;2;1;3;3;1;3;1;3;1;1;1;1;1;4;4;4;4;4;4;3;4;3;3;2;2;2;2;3;4;3;3;3;4;4;3;5;3;4;3;3;4;4;2;1;2;3;3;2;2;2;2;3;2;3;3;1;1;3;3;3;3;3;3;3;3;3;3;3;0;2;3;2;1;1;4;2;5;5;3;3;3;3;3;4;5;3;4;4;5;4;4;4;4;4;3;3;1;3;1;1;1;4;4;2;2;2;3;3;2;2;2;4;2;1;1;1;3;3;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;2;3;1;1;7;;7;-99;3;;;2;;2;-99;-99;0;0;0;0;"-99";1;0;0;0;-66;0;0;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554474770;"2019-04-05 14:32:50";"2019-04-05 15:06:33";"0000-00-00 00:00:00";4;15;180;210;299;323;367;665;750;763;798;894;930;941;989;994;1009;1527;1536;1545;1645;1695;1758;1877;1899;1903;1915;;1936;1946;1956;;;1960;;;1968;1976;1978;1984;1993;;1998;;2023;1074;1217;1251;1277;1332;1407;1468;1520;1798;1864;"weiblich";"Mittlere Reife";"";"";;"56-60";5;2019
